code,event,kickoff_time,team_a,team_h
22300061,1,2023-10-24T23:30:00Z,11,7
22300062,1,2023-10-25T02:00:00Z,20,8
22300063,2,2023-10-25T23:00:00Z,1,30
22300064,2,2023-10-25T23:00:00Z,28,18
22300065,2,2023-10-25T23:00:00Z,2,16
22300066,2,2023-10-25T23:00:00Z,9,17
22300067,2,2023-10-25T23:30:00Z,3,15
22300068,2,2023-10-25T23:30:00Z,29,12
22300069,2,2023-10-25T23:30:00Z,14,25
22300070,2,2023-10-26T00:00:00Z,24,5
22300071,2,2023-10-26T00:00:00Z,4,27
22300072,2,2023-10-26T01:00:00Z,22,26
22300073,2,2023-10-26T01:30:00Z,6,23
22300074,2,2023-10-26T02:30:00Z,21,10
22300075,3,2023-10-26T23:30:00Z,19,13
22300076,3,2023-10-27T02:00:00Z,20,11
22300077,4,2023-10-27T23:00:00Z,29,30
22300078,4,2023-10-27T23:00:00Z,7,27
22300079,4,2023-10-27T23:30:00Z,16,1
22300080,4,2023-10-27T23:30:00Z,12,2
22300081,4,2023-10-27T23:30:00Z,24,3
22300082,4,2023-10-28T00:00:00Z,25,5
22300083,4,2023-10-28T00:00:00Z,9,23
22300084,4,2023-10-28T00:30:00Z,15,6
22300085,4,2023-10-28T01:30:00Z,10,26
22300086,4,2023-10-28T02:00:00Z,17,21
22300087,4,2023-10-28T02:00:00Z,8,22
22300088,5,2023-10-28T23:00:00Z,5,29
22300090,5,2023-10-28T23:00:00Z,16,4
22300089,5,2023-10-28T23:00:00Z,27,28
22300091,5,2023-10-28T23:30:00Z,18,3
22300092,5,2023-10-28T23:30:00Z,19,25
22300093,5,2023-10-29T00:00:00Z,12,14
22300094,5,2023-10-29T02:00:00Z,26,20
22300095,6,2023-10-29T19:30:00Z,7,24
22300096,6,2023-10-29T23:00:00Z,8,9
22300097,6,2023-10-29T23:00:00Z,1,13
22300098,6,2023-10-29T23:30:00Z,21,19
22300099,6,2023-10-30T01:00:00Z,23,10
22300100,6,2023-10-30T01:00:00Z,11,22
22300101,7,2023-10-30T23:00:00Z,15,30
22300102,7,2023-10-30T23:00:00Z,5,18
22300103,7,2023-10-30T23:00:00Z,2,28
22300104,7,2023-10-30T23:30:00Z,14,1
22300105,7,2023-10-30T23:30:00Z,21,25
22300106,7,2023-10-31T00:00:00Z,6,27
22300107,7,2023-10-31T00:00:00Z,12,13
22300108,7,2023-10-31T00:00:00Z,8,4
22300109,7,2023-10-31T00:00:00Z,29,24
22300110,7,2023-10-31T01:00:00Z,26,7
22300111,7,2023-10-31T02:30:00Z,17,11
22300112,8,2023-10-31T23:30:00Z,16,3
22300113,8,2023-11-01T02:00:00Z,23,20
22300114,8,2023-11-01T02:30:00Z,17,10
22300115,9,2023-11-01T23:00:00Z,21,29
22300116,9,2023-11-01T23:00:00Z,13,25
22300117,9,2023-11-01T23:30:00Z,28,1
22300118,9,2023-11-01T23:30:00Z,18,2
22300119,9,2023-11-01T23:30:00Z,15,12
22300120,9,2023-11-01T23:30:00Z,3,16
22300121,9,2023-11-01T23:30:00Z,4,24
22300122,9,2023-11-02T00:00:00Z,30,9
22300123,9,2023-11-02T00:00:00Z,7,14
22300124,9,2023-11-02T00:30:00Z,5,6
22300125,9,2023-11-02T01:00:00Z,27,26
22300126,9,2023-11-02T02:00:00Z,22,8
22300127,9,2023-11-02T02:00:00Z,10,11
22300128,10,2023-11-02T23:00:00Z,25,19
22300129,10,2023-11-03T00:00:00Z,29,4
22300130,10,2023-11-03T01:00:00Z,17,26
22300131,10,2023-11-03T02:00:00Z,23,20
22300001,11,2023-11-03T23:00:00Z,3,18
22300002,11,2023-11-03T23:30:00Z,16,13
22300004,11,2023-11-04T00:00:00Z,15,5
22300003,11,2023-11-04T00:00:00Z,28,12
22300005,11,2023-11-04T00:00:00Z,8,24
22300006,11,2023-11-04T02:00:00Z,6,7
22300007,11,2023-11-04T02:00:00Z,27,21
22300132,12,2023-11-04T17:00:00Z,20,19
22300133,12,2023-11-04T23:00:00Z,30,18
22300135,12,2023-11-04T23:00:00Z,1,4
22300134,12,2023-11-04T23:00:00Z,11,17
22300136,12,2023-11-05T00:00:00Z,2,15
22300137,12,2023-11-05T00:00:00Z,22,9
22300138,12,2023-11-05T00:00:00Z,26,14
22300139,12,2023-11-05T01:00:00Z,5,7
22300140,13,2023-11-05T20:00:00Z,20,29
22300141,13,2023-11-05T20:30:00Z,25,23
22300142,13,2023-11-05T23:00:00Z,8,3
22300143,13,2023-11-06T00:30:00Z,30,6
22300144,13,2023-11-06T02:00:00Z,27,21
22300145,14,2023-11-07T00:00:00Z,8,29
22300146,14,2023-11-07T00:00:00Z,23,18
22300147,14,2023-11-07T00:00:00Z,6,17
22300148,14,2023-11-07T00:00:00Z,28,19
22300149,14,2023-11-07T00:30:00Z,13,15
22300150,14,2023-11-07T00:30:00Z,11,12
22300151,14,2023-11-07T00:30:00Z,10,16
22300152,14,2023-11-07T01:00:00Z,26,5
22300153,14,2023-11-07T01:00:00Z,22,9
22300154,14,2023-11-07T01:00:00Z,2,14
22300155,14,2023-11-07T01:00:00Z,1,24
22300156,14,2023-11-07T02:00:00Z,4,7
22300157,15,2023-11-09T00:00:00Z,28,30
22300158,15,2023-11-09T00:00:00Z,26,18
22300159,15,2023-11-09T00:00:00Z,2,19
22300160,15,2023-11-09T00:30:00Z,10,15
22300161,15,2023-11-09T00:30:00Z,23,16
22300162,15,2023-11-09T01:00:00Z,20,5
22300163,15,2023-11-09T01:00:00Z,11,9
22300164,15,2023-11-09T01:00:00Z,12,27
22300165,15,2023-11-09T01:00:00Z,29,13
22300166,15,2023-11-09T01:00:00Z,4,14
22300167,15,2023-11-09T01:00:00Z,3,24
22300168,15,2023-11-09T01:30:00Z,25,6
22300169,15,2023-11-09T03:00:00Z,8,7
22300170,15,2023-11-09T03:00:00Z,21,22
22300171,16,2023-11-10T00:00:00Z,13,18
22300172,16,2023-11-10T02:30:00Z,1,17
22300008,17,2023-11-11T00:00:00Z,19,29
22300009,17,2023-11-11T00:00:00Z,30,28
22300010,17,2023-11-11T00:30:00Z,15,2
22300011,17,2023-11-11T01:00:00Z,4,9
22300012,17,2023-11-11T01:00:00Z,26,27
22300013,17,2023-11-11T01:00:00Z,14,23
22300014,17,2023-11-11T01:30:00Z,10,6
22300015,17,2023-11-11T03:00:00Z,11,20
22300016,17,2023-11-11T03:00:00Z,24,22
22300173,18,2023-11-11T23:00:00Z,13,17
22300174,18,2023-11-12T00:00:00Z,25,2
22300175,18,2023-11-12T00:30:00Z,12,1
22300176,18,2023-11-12T01:30:00Z,3,8
22300177,19,2023-11-12T17:00:00Z,30,16
22300178,19,2023-11-12T20:00:00Z,28,15
22300179,19,2023-11-12T20:30:00Z,27,10
22300180,19,2023-11-12T23:00:00Z,18,19
22300181,19,2023-11-13T00:00:00Z,29,5
22300182,19,2023-11-13T00:00:00Z,7,9
22300183,19,2023-11-13T00:00:00Z,6,4
22300184,19,2023-11-13T00:00:00Z,12,23
22300185,19,2023-11-13T01:00:00Z,24,20
22300186,19,2023-11-13T01:30:00Z,14,8
22300187,19,2023-11-13T03:00:00Z,21,11
22300188,20,2023-11-14T00:30:00Z,16,2
22300189,20,2023-11-14T00:30:00Z,28,25
22300190,20,2023-11-14T01:00:00Z,5,13
22300191,20,2023-11-14T03:00:00Z,3,22
22300017,21,2023-11-15T00:00:00Z,12,30
22300018,21,2023-11-15T00:00:00Z,1,29
22300019,21,2023-11-15T00:00:00Z,18,19
22300020,21,2023-11-15T00:30:00Z,17,15
22300021,21,2023-11-15T00:30:00Z,23,24
22300022,21,2023-11-15T01:00:00Z,6,4
22300023,21,2023-11-15T02:00:00Z,21,26
22300024,21,2023-11-15T03:00:00Z,10,7
22300025,21,2023-11-15T03:00:00Z,14,8
22300026,21,2023-11-15T03:30:00Z,27,11
22300192,22,2023-11-16T00:00:00Z,6,28
22300193,22,2023-11-16T00:30:00Z,16,1
22300194,22,2023-11-16T00:30:00Z,2,19
22300195,22,2023-11-16T00:30:00Z,13,25
22300196,22,2023-11-16T01:00:00Z,17,5
22300197,22,2023-11-16T02:00:00Z,14,20
22300198,22,2023-11-16T03:00:00Z,22,11
22300199,22,2023-11-16T03:00:00Z,3,21
22300200,23,2023-11-17T00:30:00Z,15,12
22300201,23,2023-11-17T03:00:00Z,24,8
22300027,24,2023-11-18T00:00:00Z,13,30
22300028,24,2023-11-18T00:00:00Z,16,28
22300029,24,2023-11-18T00:30:00Z,19,1
22300030,24,2023-11-18T00:30:00Z,29,3
22300032,24,2023-11-18T00:30:00Z,22,23
22300031,24,2023-11-18T00:30:00Z,2,25
22300033,24,2023-11-18T01:00:00Z,17,5
22300034,24,2023-11-18T01:00:00Z,7,4
